,O1 A,O1 A1,O1 B,O1 C,O2,O3,O4,O4.2,O5 ab,O5 ac,O6,O6.2,O6.3,O7,O8,O9,O9 a,O10,O11,O12,O13,O15,O16,O16.2,O16.3,O17,O18 A,O18 A1,O18 A1A2,O18 ab,O18 ac,O18 B,O18 B1,O19 ab,O20 ab,O20 ac,O21,O22,O23 A,O24,O25,O26,O27,O28 ab,O28 ac,O29,O30,O32,O35,O36,O37,O38,O39,O40,O41,O42,O43,O44,O45,O45 rel,O46,O48,O49,O52,O53,O55,O56,O58,O59,O61,O62,O64,O65,O66,O68,O69,O70,O71,O73,O73 ab,O74,O75,O76,O77,O78,O79,O82,O83,O85,O86,O86.2,O86.3,O87,O88,O90,O91,O96,O97,O98,O99,O100,O101,O102,O103,O104,O105,O107,O108,O109,O110,O111,O112 ab,O112 ac,O113,O114,O115,O116,O117,O118,O119,O120,O121,O123,O124,O125 ab,O126,O126.2,O127,O128 ab,O128 ab.2,O128 ac,O129,O130,O131,O132,O133,O134,O135,O136,O137,O138,O139,O140,O141,O142,O143,O145,O146,O147,O148,O149,O150,O151,O152,O153,O154,O155,O156,O157,O158 ab,O158 ac,O159,O160,O161,O163,O164,O165,O166,O167,O168,O169,O170,O171,O172,O173,O174 ab,O174 ac,O175,O176,O177,O178,O180,O181,O182,O183,O184,O185,O186,O187
O21,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.3333333333333333,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.4166666666666667,1.4166666666666667,1.1666666666666667,1.4166666666666667,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.4166666666666667,1.4166666666666667,1.6666666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,1.4666666666666666,1.0833333333333333,1.0,1.0,1.3333333333333333,1.3333333333333333,1.1666666666666667,1.4166666666666667,1.1666666666666667,1.0,1.2666666666666666,1.4666666666666666,1.3333333333333333,1.0833333333333333,1.0833333333333333,1.6666666666666667,1.1666666666666667,1.1333333333333333,1.4166666666666667,1.4166666666666667,1.6666666666666667,1.3333333333333333,1.0,0.9166666666666666,1.1666666666666667,1.4166666666666667,1.6666666666666667,1.4166666666666667,0.6666666666666666,1.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.9166666666666666,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.4166666666666667,1.4166666666666667,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.4166666666666667,1.6666666666666667,1.3333333333333333,1.4666666666666666,0.9166666666666666,1.0666666666666667,1.4166666666666667,1.1666666666666667,1.4166666666666667,1.1666666666666667,1.4166666666666667,1.3333333333333333,1.1666666666666667,1.1333333333333333,1.3333333333333333,2.0,1.4166666666666667,1.6666666666666667,1.4166666666666667,1.6666666666666667,1.0,1.2666666666666666,1.1666666666666667,1.4166666666666667,1.2666666666666666,1.6666666666666667,1.3333333333333333,1.4166666666666667,1.3333333333333333,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.4166666666666667,1.3333333333333333,1.4666666666666666,1.2666666666666666,1.4166666666666667,1.6666666666666667,1.4666666666666666,1.6666666666666667,1.6666666666666667,1.0,1.1666666666666667,1.1666666666666667,1.3333333333333333,1.4166666666666667,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.4166666666666667,1.0,0.9166666666666666,1.4666666666666666,1.6666666666666667,0.9166666666666666,1.4166666666666667,1.0,1.0,1.4166666666666667,1.5,1.1666666666666667,1.3333333333333333,1.4166666666666667,1.4166666666666667,1.3333333333333333,1.1666666666666667,1.4166666666666667,1.6666666666666667,1.3333333333333333,1.2666666666666666,1.3333333333333333,1.1666666666666667,1.2666666666666666,1.6666666666666667,1.0,1.4166666666666667,1.4166666666666667,1.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.1666666666666667,1.1666666666666667,1.4666666666666666,1.4166666666666667,1.1666666666666667,1.3333333333333333,0.8666666666666667,1.6666666666666667,1.1666666666666667,0.6666666666666666,1.0,1.4666666666666666,1.6666666666666667,1.4166666666666667,1.2666666666666666,1.6666666666666667,1.4166666666666667,1.3333333333333333,1.1666666666666667,1.6666666666666667,1.2666666666666666,1.6666666666666667,1.5
O22,1.25,1.25,1.05,1.05,1.25,1.2666666666666666,0.8,1.05,1.0,1.0,1.25,1.25,1.25,1.25,1.0,1.0,1.0,1.05,1.05,1.0,1.05,1.0,1.05,0.8,0.8,1.05,0.85,1.1,1.1,0.85,0.85,0.85,1.1,0.8,0.8,1.3,1.4666666666666666,0.0,1.3,0.9333333333333333,1.4666666666666666,1.0,1.6,1.0,1.0,1.1,1.1333333333333333,0.6,1.2,1.6666666666666667,0.85,0.85,1.05,0.8,1.0,1.05,1.05,1.05,1.0,1.0,0.8,0.85,0.8,1.0,0.85,1.2666666666666666,1.1333333333333333,1.3333333333333333,1.25,1.0,1.4666666666666666,1.05,1.0,1.0,1.2,0.8,1.05,1.0,1.3,1.05,1.3333333333333333,1.1333333333333333,0.4,1.0,1.0,1.0,1.05,0.6,1.05,0.85,1.05,0.85,0.6,1.3333333333333333,0.8,1.0,1.25,2.0,1.0,1.3,1.05,1.0,1.2666666666666666,1.0,0.6,1.5,0.8,0.8,1.1333333333333333,0.8,1.2666666666666666,0.85,0.85,1.05,1.0,1.25,1.0,0.6,0.8,1.05,0.6,1.0,1.0,1.2666666666666666,1.1,1.25,1.1333333333333333,1.0,0.85,1.05,0.85,1.05,1.2666666666666666,0.8,0.8,1.0,0.8,1.05,1.0,1.1333333333333333,1.0,1.1666666666666667,0.9,1.4666666666666666,1.25,1.05,1.0,1.05,0.8,0.8,1.0,1.2,1.05,1.05,1.0,1.25,1.2666666666666666,1.05,1.0,1.2666666666666666,1.6666666666666667,1.25,0.85,0.8,0.8,1.2666666666666666,1.0,0.85,1.2,1.25,0.9,1.05,0.8,0.8,1.05,0.9333333333333333,1.1333333333333333,0.6,1.0,1.0,0.8,1.0,1.05,1.1333333333333333,1.1,1.0,0.6,0.8,0.8333333333333334
O23 A,1.25,1.25,1.25,1.25,1.25,0.8333333333333334,1.0,0.75,1.0,1.0,1.25,1.0,1.25,1.25,1.5,1.5,1.5,1.25,1.25,1.25,1.0,0.9166666666666666,1.0,1.25,1.25,1.25,1.0,0.75,1.0,1.25,1.0,1.25,1.0,1.3,1.5,1.5,1.0833333333333333,1.3,0.0,1.1666666666666667,1.0,1.1666666666666667,2.0,1.25,1.25,1.0,1.1666666666666667,1.1,1.3,1.3333333333333333,1.25,1.25,1.5,1.0,1.1,1.0,1.5,1.25,1.5,1.1666666666666667,1.25,1.25,1.5,1.5,1.0,1.0833333333333333,1.1666666666666667,1.1666666666666667,1.5,1.25,1.1666666666666667,1.0,1.3,1.5,1.3,1.5,0.75,1.0,1.0,1.0,1.1666666666666667,1.1666666666666667,1.25,1.5,1.0,1.3,0.75,0.85,1.25,1.0,1.0,1.0,1.5,1.1666666666666667,1.0,0.9,1.0,2.0,1.25,1.0,1.25,1.25,1.6666666666666667,1.1,1.25,1.25,1.1,1.5,0.8333333333333334,1.25,1.0,0.75,0.75,0.75,1.25,1.0,1.1,0.9,1.25,1.5,1.3,1.5,1.5,1.0833333333333333,0.75,1.0,1.1666666666666667,1.0,1.25,1.0,1.25,1.0,1.6666666666666667,1.25,1.1,1.3,1.25,1.0,0.9166666666666666,1.1666666666666667,1.25,1.5,1.0,1.3333333333333333,1.0,1.0,1.1666666666666667,1.25,1.5,1.25,1.1666666666666667,1.3,1.0,1.0,1.25,1.25,1.4166666666666667,1.25,1.25,0.9166666666666666,1.3333333333333333,1.0,1.0,1.1666666666666667,1.5,1.0833333333333333,1.25,1.25,1.3,1.25,1.5,1.0,1.25,1.3,0.75,0.9166666666666666,0.75,1.3,1.25,1.25,1.3,1.5,1.0,1.0,1.25,1.25,1.1,1.25,1.3333333333333333
O24,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0833333333333333,1.0,1.3333333333333333,1.3333333333333333,1.0833333333333333,1.3333333333333333,1.0833333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.3333333333333333,1.0,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.1666666666666667,1.1666666666666667,0.8333333333333334,1.0833333333333333,0.8333333333333334,0.9166666666666666,1.1333333333333333,1.3333333333333333,1.5,1.0,0.9333333333333333,1.1666666666666667,0.0,1.0,1.3333333333333333,1.3333333333333333,1.0833333333333333,1.3333333333333333,1.0,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,1.0,1.3333333333333333,1.3333333333333333,1.1333333333333333,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0,1.0,0.8333333333333334,1.0833333333333333,1.0833333333333333,1.3333333333333333,1.0833333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.2,1.3333333333333333,1.0833333333333333,1.3333333333333333,1.1666666666666667,1.0833333333333333,1.3333333333333333,1.3333333333333333,1.0833333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.8333333333333334,1.1333333333333333,1.3333333333333333,1.0833333333333333,1.3333333333333333,1.0833333333333333,1.0833333333333333,1.3333333333333333,1.0833333333333333,1.3333333333333333,1.3333333333333333,2.0,1.3333333333333333,1.1666666666666667,1.3333333333333333,1.3333333333333333,1.0,1.1333333333333333,1.0833333333333333,1.5,1.1333333333333333,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,0.8333333333333334,0.8333333333333334,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.9333333333333333,1.3333333333333333,1.3333333333333333,0.9333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.0,1.0,1.0833333333333333,1.0,0.8333333333333334,1.1333333333333333,1.1333333333333333,0.8333333333333334,1.0833333333333333,1.3333333333333333,1.0,1.3333333333333333,1.1666666666666667,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.3333333333333333,1.1333333333333333,1.3333333333333333,0.8333333333333334,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0833333333333333,1.0,1.3333333333333333,1.3333333333333333,0.8333333333333334,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.0833333333333333,0.8333333333333334,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,0.9333333333333333,1.1333333333333333,0.75,1.0,1.3333333333333333,0.9333333333333333,1.3333333333333333,1.3333333333333333,1.1333333333333333,1.3333333333333333,1.0833333333333333,1.3333333333333333,1.25,1.3333333333333333,1.1333333333333333,1.0833333333333333,1.3333333333333333
O25,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0,0.6666666666666666,0.5833333333333334,1.6666666666666667,1.6666666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0833333333333333,1.6666666666666667,0.9166666666666666,0.8333333333333334,1.0,1.3333333333333333,1.1666666666666667,1.4166666666666667,1.4166666666666667,0.9166666666666666,0.8333333333333334,1.0833333333333333,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8333333333333334,1.1333333333333333,1.6666666666666667,1.6666666666666667,1.0,1.4666666666666666,1.0,1.0,0.0,0.6666666666666666,1.6666666666666667,1.1666666666666667,1.4166666666666667,0.6666666666666666,1.0,1.4666666666666666,1.1333333333333333,1.0,1.6666666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.1333333333333333,1.1666666666666667,1.6666666666666667,1.4166666666666667,1.3333333333333333,1.0,1.4166666666666667,1.1666666666666667,1.4166666666666667,1.6666666666666667,0.9166666666666666,1.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.4166666666666667,1.6666666666666667,1.6666666666666667,1.2666666666666666,1.3333333333333333,1.4166666666666667,1.4166666666666667,1.3333333333333333,1.4166666666666667,1.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.4666666666666666,0.9166666666666666,1.2666666666666666,1.4166666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.4166666666666667,1.3333333333333333,1.0833333333333333,1.6666666666666667,1.0,1.2666666666666666,1.6666666666666667,1.0833333333333333,1.4666666666666666,1.4166666666666667,1.0,1.4166666666666667,1.0,1.1666666666666667,1.4166666666666667,1.4166666666666667,1.6666666666666667,1.3333333333333333,1.4666666666666666,1.2666666666666666,1.4166666666666667,1.4166666666666667,1.1333333333333333,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.4166666666666667,1.4166666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.8333333333333334,1.3333333333333333,1.6666666666666667,1.0666666666666667,1.1333333333333333,1.4166666666666667,0.8333333333333334,1.3333333333333333,1.0,1.0833333333333333,1.1666666666666667,1.1666666666666667,1.0,1.1666666666666667,1.4166666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0833333333333333,1.3333333333333333,0.9333333333333333,1.3333333333333333,0.9166666666666666,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.4166666666666667,1.4166666666666667,1.0,0.6666666666666666,1.3333333333333333,1.1666666666666667,1.3333333333333333,1.6666666666666667,1.0,1.4166666666666667,1.4166666666666667,1.4666666666666666,1.4166666666666667,1.4166666666666667,1.3333333333333333,1.4666666666666666,1.1333333333333333,0.8333333333333334,1.3333333333333333,1.3333333333333333,1.4666666666666666,1.6666666666666667,0.8333333333333334,1.6666666666666667,1.4166666666666667,1.1666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.4166666666666667,1.5
O26,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.25,0.5,1.0,1.0,1.25,1.0,1.25,1.0,1.0,1.0,1.0,0.6666666666666666,1.25,0.5,0.6666666666666666,0.3333333333333333,1.25,0.75,1.0,1.25,0.75,1.0,1.25,1.0,0.75,1.0,1.25,0.6666666666666666,1.0,1.5,1.3333333333333333,1.0,1.1666666666666667,1.3333333333333333,0.6666666666666666,0.0,2.0,0.75,0.75,1.0,1.0,0.8,0.6666666666666666,1.0,1.25,1.0,1.0,0.75,0.8666666666666667,1.0,1.25,1.25,1.0,0.6666666666666666,1.0,0.75,0.75,1.0,0.75,1.3333333333333333,1.0,1.0,1.25,1.0,1.6666666666666667,1.0,1.0,1.0,1.2,0.6666666666666666,1.25,0.75,1.5,1.25,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.8,1.0,1.25,1.25,1.25,1.0,1.0,1.0,0.6666666666666666,0.9166666666666666,1.6666666666666667,0.75,1.5,0.6666666666666666,1.0,1.3333333333333333,0.8,1.0,0.9166666666666666,0.8,0.75,1.0,0.75,1.3333333333333333,1.0,1.25,1.0,1.0,0.9166666666666666,0.8,0.8,0.75,1.0,0.8666666666666667,1.0,1.0,1.6666666666666667,1.5,1.0,1.0,1.0,1.25,1.25,1.25,0.6666666666666666,1.6666666666666667,1.0,0.6,0.8666666666666667,1.0,0.6666666666666666,0.6666666666666666,1.0,0.4166666666666667,0.8333333333333334,1.25,1.0,0.75,1.0,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9166666666666666,1.0,1.0,0.9166666666666666,1.6666666666666667,1.0,1.0,1.3333333333333333,1.0,0.9166666666666666,1.0,0.6666666666666666,1.0,1.6666666666666667,1.0,1.25,1.0,1.0,1.5,0.9166666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,0.75,1.0,1.0,1.5,1.0,1.0,1.0,0.8333333333333334
O27,2.0,2.0,1.75,1.75,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,1.75,2.0,1.75,2.0,2.0,2.0,2.0,1.75,1.75,1.75,2.0,2.0,2.0,2.0,2.0,2.0,1.75,1.75,1.75,1.5,1.75,1.5,1.5,2.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.6,2.0,1.3333333333333333,1.6666666666666667,2.0,0.0,1.75,2.0,1.5,1.6666666666666667,1.8,2.0,2.0,1.4166666666666667,1.6666666666666667,1.75,1.75,1.6,2.0,1.75,2.0,1.6666666666666667,1.6666666666666667,1.5,1.5,1.75,2.0,2.0,1.3333333333333333,1.3333333333333333,2.0,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,1.8,2.0,2.0,2.0,2.0,2.0,1.6666666666666667,1.75,2.0,2.0,2.0,1.75,2.0,1.75,1.5,1.75,1.5,1.5,2.0,1.75,2.0,2.0,2.0,2.0,2.0,1.75,2.0,1.0,1.8,1.5,2.0,1.8,1.75,2.0,1.6666666666666667,1.6666666666666667,1.75,1.75,1.75,2.0,2.0,2.0,1.8,1.75,1.75,1.6,2.0,2.0,1.6666666666666667,1.75,2.0,1.6666666666666667,2.0,1.4166666666666667,1.6666666666666667,1.4166666666666667,2.0,1.0,1.75,2.0,2.0,1.5,2.0,2.0,1.6666666666666667,2.0,1.8333333333333333,1.75,2.0,2.0,2.0,2.0,1.75,1.75,2.0,2.0,1.8,1.75,1.75,2.0,2.0,1.3333333333333333,1.75,1.75,1.6666666666666667,1.6666666666666667,2.0,1.25,2.0,2.0,1.3333333333333333,1.75,1.1666666666666667,2.0,2.0,1.25,2.0,1.6,2.0,1.75,1.6666666666666667,2.0,1.8,2.0,2.0,1.8,2.0,2.0,2.0,1.75,2.0,1.8,2.0,2.0
O28 ab,1.0,1.0,1.0,1.0,1.0,1.4166666666666667,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.25,0.25,1.0,0.75,1.0,0.75,0.75,1.0,0.75,1.0,1.25,0.75,0.75,0.75,1.0,1.0,1.0,1.5,1.1666666666666667,1.0,1.25,1.0833333333333333,1.1666666666666667,0.75,1.75,0.0,0.25,0.75,0.5833333333333334,0.8,1.0,1.4166666666666667,1.0,0.75,1.0,0.75,0.75,0.5,1.25,1.0,0.75,0.5,0.75,1.0,1.0,1.0,1.0,1.4166666666666667,0.8333333333333334,1.0833333333333333,1.0,0.75,1.6666666666666667,1.0,0.8,0.75,1.2,0.8,1.25,1.0,1.25,1.25,0.8333333333333334,1.0833333333333333,1.0,0.75,0.75,1.0,0.75,0.8,1.0,1.25,1.25,1.25,1.0,1.0833333333333333,1.0,0.75,1.0,2.0,0.75,1.5,0.75,0.75,1.4166666666666667,0.4,1.0,1.25,0.8,0.75,1.0833333333333333,0.75,1.4166666666666667,1.0,1.25,1.0,0.75,1.0,0.6,1.0,0.75,1.0,1.2,0.75,0.75,1.6666666666666667,1.5,0.75,1.0833333333333333,1.0,1.25,1.25,1.25,1.0,1.4166666666666667,1.0,0.8,1.0,0.75,1.0,0.75,0.5833333333333334,0.75,0.8333333333333334,1.5,1.4166666666666667,1.0,1.0,0.75,1.25,1.0,0.75,0.75,0.8,1.0,0.5,0.75,1.25,1.6666666666666667,1.0,0.75,1.6666666666666667,1.1666666666666667,1.0,0.75,0.75,0.75,1.4166666666666667,0.5,1.0,0.8,0.75,1.25,1.0,0.8,0.8,0.75,1.0833333333333333,1.0833333333333333,1.0,1.0,0.75,0.8,0.75,1.0,1.0833333333333333,1.5,1.0,1.0,1.0,0.6666666666666666
O28 ac,1.0,1.0,1.0,1.0,1.0,1.4166666666666667,0.75,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.5,1.0,0.75,1.0,0.75,0.75,1.0,0.75,1.0,1.25,1.0,0.75,1.0,1.25,1.0,1.0,1.5,1.4166666666666667,1.0,1.25,1.3333333333333333,1.4166666666666667,0.75,2.0,0.25,0.0,1.0,0.8333333333333334,0.8,1.0,1.4166666666666667,1.0,0.75,1.0,0.75,0.95,0.25,1.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.4166666666666667,1.0833333333333333,1.0833333333333333,1.0,1.0,1.6666666666666667,1.0,0.8,0.75,1.2,0.8,1.25,1.0,1.25,1.25,0.8333333333333334,1.0833333333333333,1.0,0.75,0.75,1.0,1.0,0.8,1.0,1.25,1.25,1.25,1.0,1.0833333333333333,1.0,0.75,1.0,2.0,0.75,1.5,0.75,0.75,1.6666666666666667,0.6,1.0,1.25,0.8,0.75,1.0833333333333333,0.75,1.4166666666666667,1.0,1.25,1.0,0.75,1.0,0.6,1.0,0.75,1.0,1.2,0.75,0.75,1.6666666666666667,1.5,0.75,1.0833333333333333,1.0,1.25,1.25,1.25,1.0,1.6666666666666667,1.0,0.8,1.0,1.0,1.0,0.75,0.8333333333333334,0.75,1.0,1.5,1.4166666666666667,1.0,1.0,0.75,1.25,1.0,0.75,0.75,1.0,1.0,0.75,0.75,1.25,1.6666666666666667,1.0,1.0,1.6666666666666667,1.4166666666666667,1.0,1.0,0.75,0.75,1.6666666666666667,0.75,1.25,0.8,0.75,1.5,1.0,1.0,0.8,1.0,1.0833333333333333,1.0833333333333333,1.0,1.0,0.75,0.8,0.75,1.0,1.0833333333333333,1.5,1.0,1.0,1.0,0.6666666666666666
O29,1.25,1.25,1.0,1.0,1.25,0.9166666666666666,0.75,0.75,1.5,1.5,1.25,1.25,1.25,1.5,1.5,1.5,1.5,1.0,1.5,0.75,1.0,1.0,1.25,1.25,1.25,1.25,0.75,0.75,1.0,0.75,0.75,0.75,0.75,1.3,1.25,1.25,1.1666666666666667,1.1,1.0,1.0,0.6666666666666666,1.0,1.5,0.75,1.0,0.0,1.0,1.1,1.3,1.4166666666666667,1.0,1.25,1.25,1.0,0.85,0.75,1.5,1.25,1.25,1.0,1.25,1.0,1.5,1.5,1.0,1.1666666666666667,0.75,1.25,1.5,1.25,1.4166666666666667,1.25,1.5,1.5,1.3,1.3,1.25,1.5,1.25,1.25,1.25,1.0,1.5,1.5,1.25,1.5,0.75,1.1,1.0,1.25,1.25,1.25,1.25,1.25,1.5,1.25,1.25,2.0,1.25,1.25,0.75,1.5,1.1666666666666667,1.1,1.25,1.25,1.5,1.0,1.0,1.0,0.9166666666666666,1.0,1.25,1.0,1.5,1.25,1.3,1.3,1.0,1.25,1.1,1.5,1.5,1.4166666666666667,1.25,1.25,1.0,1.5,1.25,1.5,1.25,1.0,1.1666666666666667,1.5,1.1,1.3,1.25,1.0,1.25,1.0,1.25,1.3333333333333333,1.25,1.4166666666666667,1.25,1.25,1.25,1.5,1.5,1.25,1.25,1.1,1.0,0.75,1.5,1.5,1.4166666666666667,1.0,1.25,1.4166666666666667,1.1666666666666667,1.25,0.75,1.25,1.5,1.1666666666666667,1.25,1.0,1.3,1.25,1.0,1.25,1.3,1.05,0.75,1.25,1.25,1.3,1.5,1.0,1.5,1.5,1.0,1.25,1.5,1.5,1.5,1.25,1.3333333333333333
O30,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.3333333333333333,1.0833333333333333,1.0833333333333333,1.3333333333333333,1.3333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0833333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0833333333333333,1.3333333333333333,0.5833333333333334,1.0833333333333333,1.0,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0833333333333333,0.8333333333333334,1.0,1.25,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.3333333333333333,1.3333333333333333,1.5,1.0,1.1333333333333333,1.1666666666666667,1.0,1.0,1.0,1.6666666666666667,0.5833333333333334,0.8333333333333334,1.0,0.0,0.9333333333333333,1.1333333333333333,1.3333333333333333,1.3333333333333333,0.5833333333333334,1.0833333333333333,1.0833333333333333,0.8,0.8333333333333334,1.3333333333333333,1.0833333333333333,1.0,0.6666666666666666,1.0833333333333333,1.0833333333333333,1.3333333333333333,1.3333333333333333,0.8333333333333334,1.3333333333333333,0.6666666666666666,1.0,1.0833333333333333,1.0,1.6666666666666667,0.8333333333333334,1.1333333333333333,1.0,1.2,1.1333333333333333,1.3333333333333333,1.3333333333333333,1.25,1.3333333333333333,0.6666666666666666,1.0,1.0833333333333333,1.0833333333333333,1.0,0.9333333333333333,0.8333333333333334,0.9333333333333333,1.0833333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,1.0,1.0,2.0,1.0833333333333333,1.5,1.0833333333333333,1.0,1.3333333333333333,0.7333333333333333,1.3333333333333333,1.25,1.1333333333333333,1.0833333333333333,1.0,1.0833333333333333,1.3333333333333333,1.0833333333333333,1.3333333333333333,1.0833333333333333,1.0833333333333333,1.0,0.9333333333333333,1.3333333333333333,1.0833333333333333,1.0833333333333333,1.3333333333333333,1.0833333333333333,1.0,1.6666666666666667,1.5,0.8333333333333334,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0833333333333333,1.3333333333333333,1.3333333333333333,1.1333333333333333,1.1333333333333333,1.0833333333333333,1.0833333333333333,1.0,0.0,1.0833333333333333,1.0,1.25,1.0,1.0833333333333333,0.8333333333333334,1.0,1.3333333333333333,1.3333333333333333,1.0833333333333333,1.0,0.9333333333333333,1.0,0.5833333333333334,1.0,1.3333333333333333,1.6666666666666667,1.0833333333333333,1.0833333333333333,1.6666666666666667,1.0,1.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,1.3333333333333333,0.8333333333333334,1.0833333333333333,0.9333333333333333,0.8333333333333334,1.0,0.75,1.1333333333333333,1.1333333333333333,0.8333333333333334,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0833333333333333,1.1333333333333333,1.0833333333333333,1.0833333333333333,0.6666666666666666,1.25,1.3333333333333333,1.1333333333333333,1.3333333333333333,0.8333333333333334
